date,open,high,low,close
2019-12-20,1.003,1.004,0.998,1.000
2019-12-23,1.001,1.003,0.988,0.990
2019-12-24,0.993,0.997,0.988,0.996
2019-12-25,0.996,0.996,0.991,0.994
2019-12-26,0.995,1.003,0.994,1.001
2019-12-27,1.000,1.007,1.000,1.001
2019-12-30,1.001,1.013,0.998,1.013
2019-12-31,1.013,1.019,1.008,1.018
2020-01-02,1.021,1.035,1.021,1.031
2020-01-03,1.031,1.033,1.026,1.031
2020-01-06,1.028,1.037,1.023,1.028
2020-01-07,1.031,1.036,1.028,1.036
2020-01-08,1.035,1.035,1.022,1.026
2020-01-09,1.035,1.037,1.030,1.035
2020-01-10,1.037,1.040,1.029,1.034
2020-01-13,1.034,1.040,1.029,1.040
2020-01-14,1.042,1.050,1.041,1.042
2020-01-15,1.041,1.042,1.034,1.038
2020-01-16,1.039,1.040,1.030,1.033
2020-01-17,1.035,1.038,1.031,1.033
2020-01-20,1.038,1.038,1.028,1.034
2020-01-21,1.033,1.033,1.016,1.017
2020-01-22,1.017,1.023,1.002,1.022
2020-01-23,1.017,1.017,0.988,0.994
2020-02-03,0.900,0.941,0.898,0.908
2020-02-04,0.909,0.932,0.908,0.931
2020-02-05,0.934,0.952,0.929,0.940
2020-02-06,0.941,0.954,0.934,0.952
2020-02-07,0.947,0.955,0.942,0.954
2020-02-10,0.951,0.969,0.946,0.969
2020-02-11,0.969,0.976,0.964,0.972
2020-02-12,0.973,0.979,0.968,0.978
2020-02-13,0.978,0.982,0.973,0.974
2020-02-14,0.974,0.982,0.973,0.982
2020-02-17,0.984,1.002,0.981,1.002
2020-02-18,1.003,1.006,0.994,1.002
2020-02-19,1.003,1.006,0.998,1.000
2020-02-20,1.000,1.013,0.997,1.008
2020-02-21,1.010,1.020,1.010,1.014
2020-02-24,1.015,1.015,1.001,1.009
2020-02-25,1.000,1.000,0.977,0.998
2020-02-26,0.990,1.011,0.986,0.999
2020-02-27,1.000,1.007,0.998,1.001
2020-02-28,0.996,0.996,0.971,0.979
2020-03-02,0.973,1.012,0.973,1.010
2020-03-03,1.020,1.026,1.004,1.010
2020-03-04,1.009,1.022,1.003,1.022
2020-03-05,1.028,1.035,1.024,1.034
2020-03-06,1.030,1.030,1.020,1.024
2020-03-09,1.010,1.010,0.992,0.994
2020-03-10,0.991,1.010,0.982,1.010
2020-03-11,1.010,1.015,1.001,1.002
2020-03-12,0.998,0.998,0.979,0.985
2020-03-13,0.966,0.976,0.943,0.970
2020-03-16,0.973,0.973,0.938,0.944
2020-03-17,0.944,0.954,0.919,0.939
2020-03-18,0.941,0.951,0.925,0.926
2020-03-19,0.925,0.931,0.900,0.917
2020-03-20,0.925,0.931,0.914,0.931
2020-03-23,0.917,0.917,0.901,0.903
2020-03-24,0.915,0.925,0.909,0.924
2020-03-25,0.932,0.944,0.932,0.943
2020-03-26,0.941,0.941,0.932,0.934
2020-03-27,0.938,0.948,0.938,0.941
2020-03-30,0.934,0.934,0.920,0.928
2020-03-31,0.933,0.935,0.924,0.925
2020-04-01,0.924,0.932,0.918,0.918
2020-04-02,0.918,0.932,0.915,0.931
2020-04-03,0.933,0.933,0.925,0.929
2020-04-07,0.939,0.946,0.938,0.944
2020-04-08,0.941,0.945,0.936,0.943
2020-04-09,0.944,0.949,0.944,0.947
2020-04-10,0.947,0.950,0.935,0.939
2020-04-13,0.931,0.938,0.930,0.936
2020-04-14,0.937,0.948,0.937,0.948
2020-04-15,0.948,0.949,0.942,0.943
2020-04-16,0.939,0.942,0.935,0.940
2020-04-17,0.942,0.947,0.941,0.942
2020-04-20,0.945,0.948,0.940,0.948
2020-04-21,0.946,0.946,0.936,0.943
2020-04-22,0.940,0.948,0.936,0.948
2020-04-23,0.949,0.950,0.944,0.945
2020-04-24,0.945,0.948,0.936,0.938
2020-04-27,0.938,0.949,0.938,0.945
2020-04-28,0.949,0.949,0.922,0.942
2020-04-29,0.941,0.949,0.940,0.949
2020-04-30,0.949,0.958,0.949,0.958
2020-05-06,0.953,0.960,0.947,0.959
2020-05-07,0.957,0.960,0.954,0.960
2020-05-08,0.960,0.969,0.960,0.967
2020-05-11,0.967,0.972,0.965,0.969
2020-05-12,0.969,0.969,0.958,0.965
2020-05-13,0.965,0.967,0.957,0.966
2020-05-14,0.967,0.967,0.957,0.958
2020-05-15,0.959,0.963,0.953,0.953
2020-05-18,0.954,0.960,0.950,0.955
2020-05-19,0.960,0.965,0.959,0.962
2020-05-20,0.960,0.962,0.953,0.955
2020-05-21,0.956,0.959,0.949,0.950
2020-05-22,0.950,0.954,0.933,0.935
2020-05-25,0.935,0.941,0.933,0.941
2020-05-26,0.940,0.946,0.940,0.946
2020-05-27,0.943,0.952,0.943,0.949
2020-05-28,0.949,0.955,0.943,0.950
2020-05-29,0.949,0.950,0.945,0.948
2020-06-01,0.948,0.966,0.948,0.966
2020-06-02,0.964,0.968,0.961,0.967
2020-06-03,0.967,0.974,0.967,0.967
2020-06-04,0.970,0.973,0.966,0.969
2020-06-05,0.968,0.971,0.962,0.966
2020-06-08,0.968,0.972,0.966,0.968
2020-06-09,0.969,0.972,0.969,0.972
2020-06-10,0.972,0.972,0.967,0.971
2020-06-11,0.971,0.971,0.960,0.963
2020-06-12,0.960,0.963,0.949,0.963
2020-06-15,0.962,0.963,0.955,0.955
2020-06-16,0.958,0.971,0.958,0.970
2020-06-17,0.970,0.973,0.968,0.971
2020-06-18,0.971,0.982,0.970,0.982
2020-06-19,0.978,0.985,0.978,0.982
2020-06-22,0.982,0.985,0.977,0.979
2020-06-23,0.979,0.981,0.973,0.979
2020-06-24,0.978,0.983,0.978,0.982
2020-06-29,0.981,0.981,0.974,0.978
2020-06-30,0.978,0.986,0.978,0.985
2020-07-01,0.984,1.003,0.984,1.002
2020-07-02,1.002,1.027,1.001,1.027
2020-07-03,1.027,1.037,1.027,1.036
2020-07-06,1.040,1.107,1.040,1.100
2020-07-07,1.128,1.128,1.082,1.086
2020-07-08,1.086,1.105,1.079,1.101
2020-07-09,1.101,1.115,1.093,1.115
2020-07-10,1.114,1.114,1.088,1.093
2020-07-13,1.093,1.125,1.092,1.124
2020-07-14,1.124,1.130,1.097,1.116
2020-07-15,1.117,1.124,1.093,1.099
2020-07-16,1.100,1.109,1.064,1.066
2020-07-17,1.068,1.083,1.061,1.072
2020-07-20,1.076,1.123,1.076,1.122
2020-07-21,1.132,1.132,1.114,1.117
2020-07-22,1.117,1.133,1.116,1.119
2020-07-23,1.114,1.121,1.087,1.108
2020-07-24,1.107,1.108,1.063,1.073
2020-07-27,1.075,1.078,1.058,1.065
2020-07-28,1.066,1.080,1.066,1.075
2020-07-29,1.075,1.093,1.065,1.093
2020-07-30,1.092,1.100,1.092,1.094
2020-07-31,1.093,1.110,1.089,1.102
2020-08-03,1.102,1.126,1.102,1.125
2020-08-04,1.125,1.135,1.120,1.128
2020-08-05,1.128,1.130,1.113,1.128
2020-08-06,1.128,1.133,1.114,1.128
2020-08-07,1.128,1.128,1.107,1.120
2020-08-10,1.119,1.139,1.117,1.136
2020-08-11,1.136,1.147,1.122,1.127
2020-08-12,1.126,1.126,1.100,1.120
2020-08-13,1.118,1.131,1.116,1.125
2020-08-14,1.125,1.134,1.118,1.134
2020-08-17,1.134,1.160,1.134,1.154
2020-08-18,1.154,1.160,1.152,1.159
2020-08-19,1.166,1.166,1.149,1.151
2020-08-20,1.151,1.151,1.138,1.142
2020-08-21,1.143,1.149,1.135,1.142
2020-08-24,1.143,1.153,1.141,1.148
2020-08-25,1.149,1.160,1.147,1.151
2020-08-26,1.150,1.151,1.129,1.133
2020-08-27,1.133,1.139,1.129,1.137
2020-08-28,1.132,1.159,1.132,1.158
2020-08-31,1.169,1.169,1.150,1.152
2020-09-01,1.152,1.154,1.144,1.154
2020-09-02,1.154,1.158,1.144,1.153
2020-09-03,1.154,1.162,1.149,1.153
2020-09-04,1.130,1.151,1.130,1.151
2020-09-07,1.145,1.158,1.133,1.135
2020-09-08,1.137,1.145,1.130,1.145
2020-09-09,1.139,1.140,1.122,1.126
2020-09-10,1.130,1.136,1.115,1.117
2020-09-11,1.118,1.123,1.109,1.123
2020-09-14,1.124,1.128,1.119,1.128
2020-09-15,1.128,1.132,1.121,1.132
2020-09-16,1.131,1.136,1.127,1.131
2020-09-17,1.132,1.143,1.128,1.136
2020-09-18,1.137,1.157,1.136,1.157
2020-09-21,1.157,1.159,1.146,1.148
2020-09-22,1.149,1.149,1.131,1.133
2020-09-23,1.133,1.138,1.133,1.136
2020-09-24,1.132,1.133,1.113,1.115
2020-09-25,1.115,1.119,1.103,1.107
2020-09-28,1.109,1.114,1.106,1.107
2020-09-29,1.110,1.119,1.109,1.118
2020-09-30,1.119,1.121,1.103,1.108
2020-10-09,1.120,1.134,1.115,1.131
2020-10-12,1.125,1.161,1.125,1.160
2020-10-13,1.162,1.164,1.154,1.163
2020-10-14,1.162,1.164,1.158,1.161
2020-10-15,1.161,1.161,1.155,1.158
2020-10-16,1.158,1.165,1.156,1.161
2020-10-19,1.158,1.171,1.149,1.153
2020-10-20,1.152,1.154,1.144,1.153
2020-10-21,1.153,1.154,1.144,1.151
2020-10-22,1.149,1.149,1.139,1.143
2020-10-23,1.143,1.149,1.137,1.143
2020-10-26,1.100,1.100,1.073,1.084
2020-10-27,1.084,1.084,1.075,1.082
2020-10-28,1.083,1.083,1.071,1.082
2020-10-29,1.081,1.091,1.070,1.089
2020-10-30,1.089,1.091,1.068,1.070
2020-11-02,1.070,1.082,1.068,1.082
2020-11-03,1.083,1.095,1.083,1.095
2020-11-04,1.095,1.104,1.093,1.101
2020-11-05,1.110,1.120,1.106,1.120
2020-11-06,1.120,1.121,1.113,1.121
2020-11-09,1.122,1.141,1.122,1.140
2020-11-10,1.150,1.151,1.133,1.137
2020-11-11,1.145,1.149,1.133,1.142
2020-11-12,1.145,1.148,1.138,1.148
2020-11-13,1.148,1.148,1.129,1.141
2020-11-16,1.145,1.164,1.141,1.163
2020-11-17,1.165,1.172,1.162,1.172
2020-11-18,1.172,1.177,1.165,1.175
2020-11-19,1.178,1.178,1.164,1.171
2020-11-20,1.170,1.177,1.165,1.177
2020-11-23,1.178,1.199,1.177,1.194
