date,open,high,low,close
2019-12-20,0.732,0.733,0.727,0.729
2019-12-23,0.730,0.732,0.717,0.719
2019-12-24,0.722,0.726,0.717,0.725
2019-12-25,0.725,0.725,0.720,0.723
2019-12-26,0.724,0.732,0.723,0.730
2019-12-27,0.729,0.736,0.729,0.730
2019-12-30,0.730,0.742,0.727,0.742
2019-12-31,0.742,0.748,0.737,0.747
2020-01-02,0.750,0.764,0.750,0.760
2020-01-03,0.760,0.762,0.755,0.760
2020-01-06,0.757,0.766,0.752,0.757
2020-01-07,0.760,0.765,0.757,0.765
2020-01-08,0.764,0.764,0.751,0.755
2020-01-09,0.764,0.766,0.759,0.764
2020-01-10,0.766,0.769,0.758,0.763
2020-01-13,0.763,0.769,0.758,0.769
2020-01-14,0.771,0.779,0.770,0.771
2020-01-15,0.770,0.771,0.763,0.767
2020-01-16,0.768,0.769,0.759,0.762
2020-01-17,0.764,0.767,0.760,0.762
2020-01-20,0.767,0.767,0.757,0.763
2020-01-21,0.762,0.762,0.745,0.746
2020-01-22,0.746,0.752,0.731,0.751
2020-01-23,0.746,0.746,0.717,0.723
2020-02-03,0.629,0.670,0.627,0.637
2020-02-04,0.638,0.661,0.637,0.660
2020-02-05,0.663,0.681,0.658,0.669
2020-02-06,0.670,0.683,0.663,0.681
2020-02-07,0.676,0.684,0.671,0.683
2020-02-10,0.680,0.698,0.675,0.698
2020-02-11,0.698,0.705,0.693,0.701
2020-02-12,0.702,0.708,0.697,0.707
2020-02-13,0.707,0.711,0.702,0.703
2020-02-14,0.703,0.711,0.702,0.711
2020-02-17,0.713,0.731,0.710,0.731
2020-02-18,0.732,0.735,0.723,0.731
2020-02-19,0.732,0.735,0.727,0.729
2020-02-20,0.729,0.742,0.726,0.737
2020-02-21,0.739,0.749,0.739,0.743
2020-02-24,0.744,0.744,0.730,0.738
2020-02-25,0.729,0.729,0.706,0.727
2020-02-26,0.719,0.740,0.715,0.728
2020-02-27,0.729,0.736,0.727,0.730
2020-02-28,0.725,0.725,0.700,0.708
2020-03-02,0.702,0.741,0.702,0.739
2020-03-03,0.749,0.755,0.733,0.739
2020-03-04,0.738,0.751,0.732,0.751
2020-03-05,0.757,0.764,0.753,0.763
2020-03-06,0.759,0.759,0.749,0.753
2020-03-09,0.739,0.739,0.721,0.723
2020-03-10,0.720,0.739,0.711,0.739
2020-03-11,0.739,0.744,0.730,0.731
2020-03-12,0.727,0.727,0.708,0.714
2020-03-13,0.695,0.705,0.672,0.699
2020-03-16,0.702,0.702,0.667,0.673
2020-03-17,0.673,0.683,0.648,0.668
2020-03-18,0.670,0.680,0.654,0.655
2020-03-19,0.654,0.660,0.629,0.646
2020-03-20,0.654,0.660,0.643,0.660
2020-03-23,0.646,0.646,0.630,0.632
2020-03-24,0.644,0.654,0.638,0.653
2020-03-25,0.661,0.673,0.661,0.672
2020-03-26,0.670,0.670,0.661,0.663
2020-03-27,0.667,0.677,0.667,0.670
2020-03-30,0.663,0.663,0.649,0.657
2020-03-31,0.662,0.664,0.653,0.654
2020-04-01,0.653,0.661,0.647,0.647
2020-04-02,0.647,0.661,0.644,0.660
2020-04-03,0.662,0.662,0.654,0.658
2020-04-07,0.668,0.675,0.667,0.673
2020-04-08,0.670,0.674,0.665,0.672
2020-04-09,0.673,0.678,0.673,0.676
2020-04-10,0.676,0.679,0.664,0.668
2020-04-13,0.660,0.667,0.659,0.665
2020-04-14,0.666,0.677,0.666,0.677
2020-04-15,0.677,0.678,0.671,0.672
2020-04-16,0.668,0.671,0.664,0.669
2020-04-17,0.671,0.676,0.670,0.671
2020-04-20,0.674,0.677,0.669,0.677
2020-04-21,0.675,0.675,0.665,0.672
2020-04-22,0.669,0.677,0.665,0.677
2020-04-23,0.678,0.679,0.673,0.674
2020-04-24,0.674,0.677,0.665,0.667
2020-04-27,0.667,0.678,0.667,0.674
2020-04-28,0.678,0.678,0.651,0.671
2020-04-29,0.670,0.678,0.669,0.678
2020-04-30,0.678,0.687,0.678,0.687
2020-05-06,0.682,0.689,0.676,0.688
2020-05-07,0.686,0.689,0.683,0.689
2020-05-08,0.689,0.698,0.689,0.696
2020-05-11,0.696,0.701,0.694,0.698
2020-05-12,0.698,0.698,0.687,0.694
2020-05-13,0.694,0.696,0.686,0.695
2020-05-14,0.696,0.696,0.686,0.687
2020-05-15,0.688,0.692,0.682,0.682
