date,open,high,low,close
2013-03-25,1.955,1.963,1.935,1.949
2013-03-26,1.941,1.943,1.896,1.916
2013-03-27,1.916,1.949,1.914,1.924
2013-03-28,1.910,1.910,1.854,1.862
2013-03-29,1.864,1.870,1.846,1.858
2013-04-01,1.850,1.866,1.842,1.860
2013-04-02,1.856,1.882,1.846,1.852
2013-04-03,1.852,1.868,1.844,1.846
2013-04-08,1.834,1.842,1.774,1.840
2013-04-09,1.840,1.868,1.840,1.854
2013-04-10,1.844,1.860,1.840,1.852
2013-04-11,1.848,1.870,1.842,1.844
2013-04-12,1.834,1.854,1.828,1.832
2013-04-15,1.828,1.828,1.804,1.816
2013-04-16,1.800,1.834,1.794,1.828
2013-04-17,1.828,1.832,1.812,1.832
2013-04-18,1.766,1.840,1.766,1.832
2013-04-19,1.836,1.896,1.836,1.892
2013-04-22,1.890,1.896,1.878,1.886
2013-04-23,1.882,1.882,1.820,1.826
2013-04-24,1.826,1.870,1.826,1.860
2013-04-25,1.846,1.866,1.834,1.842
2013-04-26,1.800,1.848,1.800,1.822
2013-05-02,1.820,1.836,1.806,1.820
2013-05-03,1.824,1.884,1.824,1.862
2013-05-06,1.862,1.888,1.862,1.880
2013-05-07,1.880,1.892,1.870,1.886
2013-05-08,1.900,1.916,1.886,1.898
2013-05-09,1.890,1.896,1.866,1.886
2013-05-10,1.880,1.900,1.878,1.894
2013-05-13,1.900,1.900,1.874,1.884
2013-05-14,1.884,1.886,1.844,1.852
2013-05-15,1.862,1.870,1.856,1.870
2013-05-16,1.870,1.904,1.854,1.900
2013-05-17,1.908,1.945,1.892,1.935
2013-05-20,1.904,1.969,1.904,1.955
2013-05-21,1.943,1.961,1.943,1.955
2013-05-22,1.945,1.969,1.945,1.959
2013-05-23,1.949,1.965,1.931,1.933
2013-05-24,1.949,1.951,1.929,1.947
2013-05-27,1.941,1.955,1.939,1.945
2013-05-28,1.943,1.981,1.937,1.979
2013-05-29,1.989,2.001,1.983,1.983
2013-05-30,1.983,1.993,1.969,1.977
2013-05-31,1.971,1.987,1.945,1.945
2013-06-03,1.953,1.967,1.947,1.955
2013-06-04,1.955,2.011,1.922,1.931
2013-06-05,1.931,1.933,1.916,1.920
2013-06-06,1.916,1.922,1.902,1.902
2013-06-07,1.902,1.910,1.858,1.880
2013-06-13,1.862,1.862,1.782,1.792
2013-06-14,1.804,1.814,1.798,1.814
2013-06-17,1.824,1.824,1.800,1.804
2013-06-18,1.818,1.822,1.792,1.816
2013-06-19,1.818,1.818,1.776,1.806
2013-06-20,1.788,1.792,1.744,1.756
2013-06-21,1.740,1.750,1.700,1.734
